,id,time,value,hisvalue,dayrate
0,0.0,2017-07-19,3.2466,3.6366,0.78%
1,1.0,2017-07-18,3.2214,3.6114,0.40%
2,2.0,2017-07-17,3.2086,3.5986,-1.22%
3,3.0,2017-07-14,3.2481,3.6381,0.44%
4,4.0,2017-07-13,3.2340,3.6240,-0.06%
5,5.0,2017-07-12,3.2360,3.6260,-0.82%
6,6.0,2017-07-11,3.2629,3.6529,0.76%
7,7.0,2017-07-10,3.2383,3.6283,-0.45%
8,8.0,2017-07-07,3.2530,3.6430,-0.53%
9,9.0,2017-07-06,3.2704,3.6604,-0.41%
10,10.0,2017-07-05,3.2840,3.6740,0.53%
11,11.0,2017-07-04,3.2668,3.6568,-1.13%
12,12.0,2017-07-03,3.3041,3.6941,-0.96%
13,13.0,2017-06-30,3.3362,3.7262,0.22%
14,14.0,2017-06-29,3.3288,3.7188,0.02%
15,15.0,2017-06-28,3.3283,3.7183,-1.42%
16,16.0,2017-06-27,3.3762,3.7662,0.04%
17,17.0,2017-06-26,3.3749,3.7649,1.14%
18,18.0,2017-06-23,3.3369,3.7269,0.79%
19,19.0,2017-06-22,3.3106,3.7006,-0.63%
20,20.0,2017-06-21,3.3317,3.7217,1.73%
21,21.0,2017-06-20,3.2752,3.6652,-0.38%
22,22.0,2017-06-19,3.2878,3.6778,0.75%
23,23.0,2017-06-16,3.2634,3.6534,-0.10%
24,24.0,2017-06-15,3.2666,3.6566,-0.50%
25,25.0,2017-06-14,3.2830,3.6730,-1.06%
26,26.0,2017-06-13,3.3181,3.7081,0.13%
27,27.0,2017-06-12,3.3139,3.7039,0.48%
28,28.0,2017-06-09,3.2981,3.6881,-0.01%
29,29.0,2017-06-08,3.6485,3.6885,1.06%
30,30.0,2017-06-07,3.6104,3.6504,1.19%
31,31.0,2017-06-06,3.5680,3.6080,1.00%
32,32.0,2017-06-05,3.5326,3.5726,-0.37%
33,33.0,2017-06-02,3.5456,3.5856,-0.32%
34,34.0,2017-06-01,3.5570,3.5970,0.29%
35,35.0,2017-05-31,3.5466,3.5866,0.27%
36,36.0,2017-05-26,3.5369,3.5769,0.18%
37,37.0,2017-05-25,3.5306,3.5706,-0.31%
38,38.0,2017-05-24,3.5416,3.5816,-0.53%
39,39.0,2017-05-23,3.5606,3.6006,0.55%
40,40.0,2017-05-22,3.5410,3.5810,0.16%
41,41.0,2017-05-19,3.5352,3.5752,1.08%
42,42.0,2017-05-18,3.4974,3.5374,-0.29%
43,43.0,2017-05-17,3.5075,3.5475,-1.16%
44,44.0,2017-05-16,3.5485,3.5885,1.89%
